1,country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,
2,India,Assam,Guwahati,"IITG, Guwahati - PCBA",20-01-2025 14:00,26.2028636,91.70046436,OZONE,16,54,30,
3,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",20-01-2025 14:00,26.10887,91.589544,NH3,1,37,6,
4,India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",20-01-2025 14:00,26.10887,91.589544,SO2,6,13,11,
5,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-01-2025 14:00,26.1875,91.744194,PM10,61,190,121,
6,India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-01-2025 14:00,26.1875,91.744194,CO,28,105,53,
7,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-01-2025 14:00,26.181742,91.78063,PM10,84,474,241,
8,India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-01-2025 14:00,26.181742,91.78063,CO,36,106,68,
9,India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",20-01-2025 14:00,25.56752,83.966379,NH3,3,3,3,
10,India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",20-01-2025 14:00,25.56752,83.966379,OZONE,12,83,35,
11,India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",20-01-2025 14:00,25.7808257,84.7446768,PM10,94,125,107,
12,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",20-01-2025 14:00,24.792403,84.992416,PM10,61,245,119,
13,India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",20-01-2025 14:00,24.792403,84.992416,NH3,5,5,5,
14,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",20-01-2025 14:00,24.762518,84.982348,PM2.5,8,59,32,
15,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",20-01-2025 14:00,24.762518,84.982348,NO2,12,22,16,
16,India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",20-01-2025 14:00,26.349082,92.68449,CO,14,102,37,
17,India,Assam,Silchar,"Tarapur, Silchar - PCBA",20-01-2025 14:00,24.82827,92.79525,CO,16,30,19,
